"id","category","name","unit","price","oldPrice","form","country","shelfLife","barcode","badges","stock","featured","slug","imageUrl","sourceUrl","composition","usage","description"
"p001","Таблетки и капсулы","Таблетки при кожных высыпаниях «Кожа здоровая»","90 таблеток","2731",,"таблетки","Россия","24 месяца","4690324019732","",,"False","tabletki-pri-kozhnykh-vysypaniyakh-kozha-zdorovaya","https://firebasestorage.googleapis.com/v0/b/travnik-5cc55.firebasestorage.app/o/products%2Ftabletki-pri-kozhnykh-vysypaniyakh-kozha-zdorovaya.jpg?alt=media&token=7df68b37-a626-4d3c-8245-332c8415d1b1","https://www.flip.kz/catalog?prod=2025433","Вероники, душицы, иссопа, короставника, первоцвета, ряски, серпухи, череды, чернобыльника, чистотела, шалфея трава; лопуха корневища, вспомогательные вещества: лактоза, диоксид кремния, кальция стеарат.","по 2-4 таблетки 3 раза в день растворить в 100 мл теплой некипяченой воды, либо проглотить не разжевывая, запив водой, за 10 минут до еды  Минимальный курс приёма зависит от конкретного заболевания. Так, сезонная аллергия — полиноз требует короткого курса 1-2 месяца; при хроническом течение болезни напиток можно пить 6-8 и более месяцев, делая после каждого месяца небольшие перерывы в 7-10 дней, в течение которого пить напиток чайный «Аллергии нет»","Рекомендованы при кожных заболеваниях аллергической и иной этиологии у детей и взрослых (диатезы дерматиты, экзема, крапивница, поллиноз, геморрагические васкулиты и др.) ; обладают антигистаминным (противоаллергическим), противомикробным и антигрибковым, противовоспалительным и седативным действием"
"p002","Таблетки и капсулы","Таблетки «Щитовидная железа здоровая»","90 таблеток","2896",,"таблетки","Россия","24 месяца","4690324022060","","177","False","tabletki-shchitovidnaya-zheleza-zdorovaya","https://firebasestorage.googleapis.com/v0/b/travnik-5cc55.firebasestorage.app/o/products%2Ftabletki-shchitovidnaya-zheleza-zdorovaya.jpg?alt=media&token=04768d01-3c94-4e38-acf7-5596364c84e6","https://www.flip.kz/catalog?prod=2951453","Гречихи, дербенника, душицы, золотарника, зопника, зюзника, иван-чая, люцерны, медуницы, мокрицы, мяты, пустырника, ряски, синеголовника, таволги, татарника, тысячелистника, чабреца, череды трава; березы листья; ивы, осины, ольхи кора; ольхи почки; лапчатки белой корневища; ламинарии слоевища; вспомогательные вещества: лактоза, аэросил, кальция стеарат.","Внутрь по 1-2 таблетки 3 раза в день, запивая водой, за 10 мин до еды.

Минимальный курс приема: от полугода до 1,5-2 лет. Желательно после каждого месяца приема делать небольшие перерывы в 7-10 дней. Целесообразно чередовать с напитками аналогичного действия.","Не существует ни одного органа в человеческом теле, на функцию которого не влияет щитовидная железа. Она является своего рода «дирижером» обмена веществ . Если функция железы снижена, уровень тиреоидных гормонов падает. Соответственно замедляются обменные процессы, падает количество энергии. Возникает состояние гипотиреоза, которому присущи такие симптомы как: повышенная утомляемость, острая чувствительность к холоду, сухость кожи, избыточная масса тела, отеки тканей, сиплый голос, повышенный холестерин в крови, мышечная слабость, замедление сердцебиения, сухость, ломкость волос, нарушение памяти, забывчивость, депрессия . Препарат «Щитовидная железа здоровая» рекомендован при пониженной функции щитовидной железы (гипотиреозе) . Растительный, органически связанный, йод нормализует функцию железы, смягчает побочное действие лечебной и заместительной гормонотерапии, устраняет клинические проявления гипотиреоза. Удобная форма выпуска в виде таблеток облегчает прием препарата, не..."
"p003","Таблетки и капсулы","Таблетки «Желудок здоровый»","90 таблеток","2994",,"таблетки","Россия","24 месяца","4690324021681","","171","False","tabletki-zheludok-zdorovyi","https://firebasestorage.googleapis.com/v0/b/travnik-5cc55.firebasestorage.app/o/products%2Ftabletki-zheludok-zdorovyi.jpg?alt=media&token=3f793d93-a0b8-4a9c-ae73-74ec099ed9ca","https://www.flip.kz/catalog?prod=2951459","Подорожника, лещины листья; дербенника, душицы, зверобоя, зюзника, крапивы двудомной, люцерны, мяты, первоцвета, репешка, таволги, тысячелистника, чабреца трава; льна семена; ивы, осины кора; черники побеги; аира болотного, дягиля корневища; вспомогательные вещества: лактоза, аэросил, кальция стеарат.","по 1-2 таблетки 3 раза в день, запив водой, за 10 мин до еды . Минимальный курс приема: 2-3 месяца . Целесообразны повторные курсы (2-3 раза в год) с перерывами между ними в 1-2 недели .","Эффективное болеутоляющее, спазмолитическое, ранозаживляющее и противоопухолевое средство . Рекомендованы при острых и хронических гастритах, сопровождающихся типичными жалобами на тяжесть в эпигастральной области, голодные боли, усиленное газообразование, потерю веса; способствуют защите слизистых желудка и кишечника , нормализации кислотности, улучшению процесса пищеварения. Можно применять при онкологических заболеваниях органов пищеварения ."
"p004","Таблетки и капсулы","Таблетки «Табакокурению — стоп»","90 таблеток","2896",,"таблетки","Россия","24 месяца","4690324022046","","8","False","tabletki-tabakokureniyu-stop","https://firebasestorage.googleapis.com/v0/b/travnik-5cc55.firebasestorage.app/o/products%2Ftabletki-tabakokureniyu-stop.jpg?alt=media&token=ad0b813b-74b5-4fb9-93ba-66068bbb41a8","https://www.flip.kz/catalog?prod=2951500","Астрагала нутового, вероники, дербенника, донника белого, зюзника, люцерны, мяты, синеголовника, татарника, чабреца, шикши трава; девясила корневища; осины кора; вспомогательные вещества: лактоза, аэросил, кальция стеарат.","внутрь по 1-3 таблетки 3 раза в день, запивая водой, за 10 минут до еды . Минимальный курс приема: от 2-3 месяцев до года . Через каждый месяц желателен небольшой перерыв 7-10 дней и так до конечного результата: стойкого отвращения к курению .","При непреодолимой тяге к курению или парению . Устраняют физиологическую и психологическую зависимость к табакокурению. При регулярном применении уменьшают или полностью ликвидируют тягу к никотину . Эффективно улучшают мозговое кровообращение , что приводит к нормализации нервной системы, очищают сосуды и легкие, оказывают антисептическое и отхаркивающее действие ."
"p005","Таблетки и капсулы","Таблетки при сухом надоедливом кашле «Легкие здоровые-2»","90 таблеток","2781",,"таблетки","Россия","24 месяца","4690324021834","","108","False","tabletki-pri-sukhom-nadoedlivom-kashle-legkie-zdorovye-2","https://firebasestorage.googleapis.com/v0/b/travnik-5cc55.firebasestorage.app/o/products%2Ftabletki-pri-sukhom-nadoedlivom-kashle-legkie-zdorovye-2.jpg?alt=media&token=314b7469-00fc-4002-98ca-3b79f292c4de","https://www.flip.kz/catalog?prod=2951502","Зюзника, медуницы, мяты, иссопа, таволги, хвоща, чабреца, череды трава; цетрарии исландской слоевища; ели, сосны хвоя; сосны почки; вспомогательные вещества: лактоза, аэросил, кальция стеарат.","внутрь по 1-2 таблетки 3 раза в день, запивая водой, не зависит от приема пищи . Минимальный курс приема: принимаются по мере необходимости (при кашле) до исчезновения симптомов.","Эффективное противовоспалительное и антимикробное средство , способствующее размягчению и отхождению мокроты . Рекомендованы при острых и хронических заболеваниях органов дыхания различной природы, сопровождающихся сухим надоедливым кашлем ."
"p006","Таблетки и капсулы","Таблетки повышающие работоспособность «Тоник для мужчин»","90 таблеток","2781",,"таблетки","Россия","24 месяца","4690324022053","","2","False","tabletki-povyshayushchie-rabotosposobnost-tonik-dlya-muzhchin","https://firebasestorage.googleapis.com/v0/b/travnik-5cc55.firebasestorage.app/o/products%2Ftabletki-povyshayushchie-rabotosposobnost-tonik-dlya-muzhchin.jpg?alt=media&token=10a84c54-d437-487b-a985-296c6e2270fb","https://www.flip.kz/catalog?prod=2951508","Заманихи, женьшеня, калгана, красной щетки, левзеи, родиолы розовой, элеутерококка корневища; змееголовника, синеголовника, сурепки, татарника, ярутки трава; грушанки листья; вспомогательные вещества: лактоза, аэросил, кальция стеарат.","внутрь по 1-3 таблетки 3 раза в день за 10 минут до еды, запивая водой . Минимальный курс приема: от 1-2 месяцев и более .","Травы, входящие в состав, адаптируют мужской организм к повышенным психоэмоциональным, интеллектуальным и физическим нагрузкам . Помогают стать бодрым и деятельным, принимать быстрые и правильные решения . Надёжно укрепляют мужское здоровье ."
"p007","Таблетки и капсулы","Таблетки успокаивающие «Нервы здоровые»","90 таблеток","2994",,"таблетки","Россия","24 месяца","4690324021964","","79","False","tabletki-uspokaivayushchie-nervy-zdorovye","https://firebasestorage.googleapis.com/v0/b/travnik-5cc55.firebasestorage.app/o/products%2Ftabletki-uspokaivayushchie-nervy-zdorovye.jpg?alt=media&token=f9265eef-8809-4b7e-9039-2955ad959c3d","https://www.flip.kz/catalog?prod=2951515","Синюхи корневища; березы, мяты листья; душицы, золотарника, зюзника, икотника, клевера, мелиссы, мяты, пустырника, синеголовника, синюхи, сушеницы, таволги, татарника, чабреца трава; вспомогательные вещества: лактоза, аэросил, кальция стеарат.","внутрь по 1-2 таблетки 3-4 раза в день, запивая водой, независимо от приёма пищи . Минимальный курс приема: 1,5-2 месяца . Повторные курсы проводить по необходимости .","Успокаивают, снижают тревожность, восстанавливают чувство комфорта и удовлетворения жизнью . Рекомендованы для приема при неврозах, бессоннице, метеочувствительности, частых мигренеподобных головных болях, повышенной тревожности . Не снижает реакции ."
"p008","Таблетки и капсулы","Таблетки «Грудь здоровая»","90 таблеток","2781",,"таблетки","Россия","24 месяца","4690324021902","","69","False","tabletki-grud-zdorovaya","https://firebasestorage.googleapis.com/v0/b/travnik-5cc55.firebasestorage.app/o/products%2Ftabletki-grud-zdorovaya.jpg?alt=media&token=f3ff56d1-fc08-47c0-bd04-4e3bdeb69f33","https://www.flip.kz/catalog?prod=2951522","Дербенника, дурнишника, золотарника, зюзника, первоцвета, полыни Божье дерево, синеголовника, таволги, хвоща, чернобыльника трава; берёзы, шалфея листья; ели хвоя; ивы кора; чага; вспомогательные вещества лактоза, аэросил, кальция стеарат.","Внутрь по 1-2 таблетки 3 раза в день, запивая водой, за 10 мин до еды.

Минимальный курс приема: 2-3 месяца. При необходимости возможны повторные курсы (3-4 раза в год) с перерывами между ними в 1-2 месяца с приемом в это время напитка чайного «Омоложение» в постменопаузе или «Женщина-красавица» и «ПМС-стоп» в детородном периоде.","«Грудь здоровая» — для здоровья молочных желез.  Препарат обладает противоопухолевым, рассасывающим, спазмолитическим и обезболивающим действием. Содействует нормализации гормонального баланса, устраняет условия, при которых развиваются мастопатии, маститы, болезненность, набухание или нагрубание молочных желез. Поддерживает общее женское здоровье и гармоничную работу эндокринной системы .  Показания к применению Рекомендуется при: • мастопатии; • мастите; • cолезненности молочных желез; • набухании или нагрубании груди; • нарушениях гормонального фона .  Способ применения Принимать по 1–2 таблетки 3 раза в день, запивая водой, за 10 минут до еды. Минимальный курс — 2–3 месяца . При необходимости возможны повторные курсы 3–4 раза в год с перерывами между ними 1–2 месяца. Во время перерывов рекомендуется приём фитонапитков:  «Омоложение» — в постменопаузе;  «Женщина-красавица» и «ПМС-стоп» — в детородный период .  Противопоказания •..."
"p009","Таблетки и капсулы","Таблетки «Иммунитет сильный»","90 таблеток","2781",,"таблетки","Россия","24 месяца","4690324021797","","53","False","tabletki-immunitet-silnyi","https://firebasestorage.googleapis.com/v0/b/travnik-5cc55.firebasestorage.app/o/products%2Ftabletki-immunitet-silnyi.jpg?alt=media&token=419eddc4-96c1-4cde-b8d3-48ca86cabc0d","https://www.flip.kz/catalog?prod=2951535","Эхинацеи, бодяка,  душицы, зверобоя, золотарника, зюзника, крапивы двудомной, люцерны, таволги, галинзоги, зубчатки, солянки холмовой, тысячелистника, чабреца трава; березы листья; ели хвоя; караганы цветущие верхушки; цетрарии исландской, кладонии звезчатой слоевища; вспомогательные вещества: лактоза, аэросил, кальция стеарат.","внутрь по 1-3 таблетки 3 раза в день, запивая водой, за 10 мин до еды . Минимальный курс приема: 1-2 месяца, 2-3 раза в год (особенно в весенне-осенний период и во время эпидемии гриппа) . Меры предосторожности: не применять в разгар заболевания при высокой температуре. В это время необходимо принимать напиток чайный «Гриппу-стоп», «Аспирин-фито» .","Для профилактики простудных заболеваний, протекающих с температурой 38,3 град. и/или с продолжительными вялотекущими последствиями в виде снижения физического и умственного тонуса, осложнений в виде гайморитов, синуситов, бронхитов ."
"p010","Таблетки и капсулы","Таблетки «Матка здоровая»","90 таблеток","2896",,"таблетки","Россия","24 месяца","4690324021810","","67","False","tabletki-matka-zdorovaya","https://firebasestorage.googleapis.com/v0/b/travnik-5cc55.firebasestorage.app/o/products%2Ftabletki-matka-zdorovaya.jpg?alt=media&token=504044b5-c666-4dd8-aa1a-1029e16d890b","https://www.flip.kz/catalog?prod=2951539","Горца почечуйного, гречихи, зверобоя, золотарника, зюзника, крапивы двудомной, пастушьей сумки, пустырника, ряски малой, смолевки, сурепки, тысячелистника, хвоща, яснотки, ярутки трава; бадана, ириса корни; бадана, березы, смородины листья; ели, сосны хвоя; калины, осины кора; вспомогательные вещества лактоза, аэросил, кальция стеарат.","внутрь по 1-2 таблетки 3 раза в день, запивая водой, за 10 минут до еды . Минимальный курс приема: с середины менструального цикла и до его окончания несколько циклов подряд до улучшения состояния. Повторный курс через 1-2 менструальных цикла, в течение которых принимать чайный напиток «Женщина-красавица» 5-9 «сухих» дней, в остальное время — «ПМС» .","Эффективное маткосокращающее, сосудоукрепляющее, кровоостанавливающее, противовоспалительное средство . Рекомендуются при любых новообразованиях матки, гиперплазии эндометрия, эндометриозах, варикозном поражении сосудов тела матки, при обильных менструациях и маточных кровотечениях . Показания : для оздоровления при новообразованиях матки."
